"Scopus Author ID","Name","Latest Affilation","Latest Affiliation Country","Latest Affiliation Scopus Organization ID","Number of matching documents","Total citations","Total documents","h-index","First publication year"
"57200152899","Leuthold, Juerg","Polariton Technologies AG","Switzerland","125786207","115","14719","903","76","1995"
"57197805850","Heni, Wolfgang","Polariton Technologies Ag","Switzerland","127089475","84","1275","126","19","2016"
"57197879265","Baeuerle, Benedikt","Polariton Technologies AG","Switzerland","125786207","69","1308","120","17","2011"
"57203654382","Fedoryshyn, Yuriy Myronovych","ETH Zürich","Switzerland","60025858","69","2442","196","34","2003"
"55551392200","Elder, Delwin L.","NLM Photonics","United States","129093648","64","1901","192","36","2011"
"7005627097","Shalaev, Vladimir M.","Purdue University","United States","60009254","63","30062","854","103","1980"
"7201635833","Maier, A. Stefan","Monash University","Australia","60019578","62","38692","663","98","2001"
"36013576700","Dalton, Larry R.","University of Washington","United States","60015481","61","14639","797","90","1965"
"55735485200","Hoessbacher, Claudia B.","Polariton Technologies AG","Switzerland","125786207","59","1291","106","22","2013"
"6602503138","Boltasseva, Alexandra E.","Purdue University","United States","60009254","58","16797","547","78","2000"
"13406480900","Wang, Jianfang","Chinese University of Hong Kong","Hong Kong","60002798","57","25653","295","87","1994"
"54780880800","Wang, Zhiming","University of Electronic Science and Technology of China","China","60005465","55","14784","606","75","2003"
"7005178534","Govorov, Alexander O.","Ohio University","United States","60011132","52","15283","383","80","1990"
"7407451545","Xu, Hongxing","Wuhan University","China","60029306","51","15872","362","75","1999"
"57195195158","Liz-Marzán, Luis M.","CIC biomaGUNE","Spain","60108641","50","44871","628","136","1990"
"35490772400","Lei, Dangyuan","City University of Hong Kong","Hong Kong","60013983","48","7368","226","54","2007"
"54795350300","Josten, Arne","ETH Zürich","Switzerland","60025858","45","2362","128","24","2012"
"23469366100","Hamidi, Seyedeh Mehri","Shahid Beheshti University","Iran","60032873","43","835","181","16","2008"
"55342807700","Cui, Tiejun Cui","Southeast University","China","60005244","41","22480","1238","107","1992"
"7005224012","Bozhevolnyi, Sergey I.","Syddansk Universitet","Denmark","60019160","41","19084","609","82","1992"
"56181886700","Haffner, Christian","Interuniversity Microelectronics Centre","Belgium","60070034","41","1416","114","23","2014"
"24462904400","Sorger, Volker J.","The George Washington University","United States","60003088","40","6834","400","41","2006"
"54400250000","Salamin, Yannick","Massachusetts Institute of Technology","United States","60022195","37","1734","102","26","2012"
"7005590294","Giessen, Harald","Universität Stuttgart","Germany","60015815","36","23773","769","87","1991"
"44661242100","Farmani, Ali","Lorestan University","Iran","60026420","36","1098","101","29","2011"
"22978535600","Caucheteur, Christophe","Université de Mons","Belgium","60010758","36","4214","348","43","2004"
"26428784700","Hameed, Mohamed Farhat O.","Zewail City of Science and Technology","Egypt","60104893","35","1680","217","34","2006"
"26424957600","Cortés, Emiliano","Ludwig-Maximilians-Universität München","Germany","60028717","35","3695","134","36","2009"
"55902750300","Shur, Michael S.","Rensselaer Polytechnic Institute","United States","60025534","35","23742","1373","97","1968"
"12645518600","Swillam, Mohamed A.","American University in Cairo","Egypt","60019087","35","1075","316","27","2004"
"55601936700","Boyd, Robert W.","University of Rochester","United States","60027165","34","31845","1229","103","1973"
"55675389500","Maccaferri, Nicolò","Umeå Universitet","Sweden","60031040","34","1174","88","26","2013"
"35453439600","Otsuji, Taiichi Ichi","Tohoku University","Japan","60008435","34","4283","579","49","1985"
"7007021640","Baumberg, Jeremy John","University of Cambridge","United Kingdom","60031101","33","22269","687","95","1991"
"35791000300","Alabastri, Alessandro","Rice University","United States","60005286","32","2580","101","30","2009"
"16432507100","Link, Stephan","Rice University","United States","60005286","32","23192","213","68","1998"
"36065677600","Kumar, Santosh","Liaocheng University","China","60030274","32","1850","302","39","2012"
"35099830400","Wang, Alan Xiaolong","Oregon State University","United States","60013402","32","1762","240","29","2009"
"28167512100","Lyutakov, Oleksiy","University of Chemistry and Technology, Prague","Czech Republic","60021588","31","1904","201","31","2007"
"12791478000","Dolgaleva, Ksenia P.","University of Ottawa","Canada","60028897","31","914","141","19","2000"
"14058268600","Huttunen, Mikko J.","Tampere University","Finland","60011170","31","1137","107","21","2005"
"35560812400","Sadeghi, Seyed M.","The University of Alabama in Huntsville","United States","60020583","31","896","166","26","1994"
"36673059700","Hentschel, Mario","Universität Stuttgart","Germany","60015815","31","7361","132","36","2010"
"7101776333","Dhawan, Anuj","Indian Institute of Technology Delhi","India","60032730","31","1747","133","25","2002"
"7005155043","Nordlander, Peter","Rice University","United States","60005286","31","38372","488","130","1983"
"23051410500","Liu, Guiqiang","Jiangxi Normal University","China","60012879","30","1589","170","29","2009"
"35498524400","Schatz, George C.","Northwestern University","United States","60007363","30","63033","1229","137","1971"
"35581405600","Kazanskiy, Nikolay L.","Samara National Research University","Russian Federation","60011415","30","2542","374","55","1987"
"55223471300","Ma, Ping","ETH Zürich","Switzerland","60025858","30","1168","73","15","2006"
"57203231698","Jarrahi, Mona","California NanoSystems Institute","United States","60117623","30","2740","274","35","2007"
"35748921500","Liu, Xiaoshan","Jiangxi Normal University","China","60012879","30","1353","131","25","2007"
"56503160600","Koch, Ueli","ETH Zürich","Switzerland","60025858","30","1293","76","18","2015"
"7005064558","Halas, Naomi J.","Rice University","United States","60005286","29","51089","460","146","1983"
"57226206486","Zeni, Luigi","Università degli Studi della Campania Luigi Vanvitelli","Italy","60026777","29","3897","408","40","1988"
"36062497100","Li, Jianfeng","Xiamen University","China","60018205","29","13966","304","64","2005"
"8627213600","Cennamo, Nunzio","Università degli Studi della Campania Luigi Vanvitelli","Italy","60026777","28","1378","171","27","2004"
"15727199700","Sadegh Amiri, Iraj","Ton-Duc-Thang University","Viet Nam","60078563","28","3054","437","52","2010"
"55225905700","Ahmadivand, Arash","Metamaterial Technologies Inc. (META)","United States","126135597","27","1661","111","28","2012"
"15821792800","Gordon, Reuven","University of Victoria","Canada","60003122","27","6880","345","49","2001"
"56101474100","Liu, Zhengqi","Jiangxi Normal University","China","60012879","27","824","74","18","2015"
"36466724500","Kuchmizhak, Aleksandr A.","Institute for Automation and Control Processes, Far Eastern Branch, Russian Academy of Sciences","Russian Federation","60011843","27","1497","165","28","2010"
"7101999017","Vo-Dinh, Tuan","Duke University School of Medicine","United States","60005200","27","13486","606","71","1973"
"35556665900","Odom, Teri Wang","Northwestern University","United States","60007363","27","16233","353","64","1998"
"24173335600","Argyropoulos, Christos","Pennsylvania State University","United States","60001439","26","4218","158","35","2008"
"7004107360","Zayats, Anatoly","King's College London","United Kingdom","60011520","26","15440","427","70","1991"
"35459735700","Khlebtsov, Boris N.","Institute of Biochemistry and Physiology of Plants and Microorganisms, Russian Academy of Sciences","Russian Federation","60027990","26","4536","237","42","2001"
"57189597207","Rho, Junsuk Sun","Pohang University of Science and Technology","South Korea","60032330","26","7566","318","55","2010"
"36994672300","Reshef, Orad","University of Ottawa","Canada","60028897","26","1397","119","23","2010"
"23088625700","Li, Guixin","Southern University of Science and Technology","China","60105683","26","5829","158","39","2001"
"55737896900","Shao, Lei","Chinese University of Hong Kong","Hong Kong","60002798","26","4552","80","34","2009"
"55933474400","Strobbia, Pietro","University of Cincinnati","United States","60025152","25","337","49","11","2013"
"13003502300","Masiello, David J.","University of Washington","United States","60015481","25","2354","80","23","2000"
"15765360100","Ellenbogen, Tal","Tel Aviv University","Israel","60005681","25","2638","115","24","2006"
"46062612900","Zheng, Xuezhi","KU Leuven","Belgium","60025063","25","809","89","19","2011"
"35207652600","Zhang, Wending","Northwest University","China","60001298","25","1912","129","25","2009"
"26029396500","Jornet, Josep Miquel","Northeastern University","United States","60028628","25","5300","228","45","2008"
"10239243000","Chen, Hongyuan","Nanjing University","China","60033100","25","33469","1038","109","1983"
"7004026301","Obayya, Salah Sabry Ahmed","Zewail City of Science and Technology","Egypt","60104893","24","2909","421","37","1999"
"18835295800","Gwo, Shangjr","National Tsing Hua University","Taiwan","60018029","24","7112","304","49","1992"
"7004742932","Kildishev, Alexander V.","Purdue University","United States","60009254","24","17089","565","75","1993"
"35232454700","Burla, Maurizio","ETH Zürich","Switzerland","60025858","24","1572","121","25","2008"
"35773425300","Ishii, Satoshi","Japan Science and Technology Agency","Japan","60015682","24","5470","215","36","1982"
"16033106200","Duan, Huigao","Hunan University","China","60032356","24","10120","341","59","2006"
"57203054720","De Angelis, Francesco D.","Istituto Italiano di Tecnologia","Italy","60102151","24","8894","300","52","2004"
"55581697600","Zhu, Jian","Xi'an Jiaotong University","China","60018308","23","2587","219","32","2003"
"55810763100","Dabos, George","Aristotle University of Thessaloniki","Greece","60015331","23","318","78","14","2013"
"55523102092","Yang, Zhilin","Xiamen University","China","60018205","23","9776","172","51","1997"
"15922457200","Danaie, Mohammad","Semnan University","Iran","60018870","23","915","101","28","2005"
"35217192800","Zhang, Zhenglong","Shaanxi Normal University","China","60000174","23","1965","121","32","2009"
"49864171900","Ramamurthy, Sai Sathish","Sri Sathya Sai Institute of Higher Learning","India","60081057","22","652","86","25","2007"
"22951115000","Lin, Jingquan","Changchun University of Science and Technology","China","60010955","22","1393","239","22","1996"
"55924799100","Tsiokos, Dimitris","Aristotle University of Thessaloniki","Greece","60015331","22","660","72","14","2004"
"6603764956","Berini, Pierre","University of Ottawa","Canada","60028897","22","6333","376","46","1994"
"23488450500","Correa-Duarte, Miguel A.","Universidade de Vigo","Spain","60026134","22","6437","151","45","1998"
"55037410600","Mokkath, Junais Habeeb","Kuwait College of Science & Technology","Kuwait","60121848","21","288","92","11","2012"
"13404694500","Chowdhury, Mustafa Habib","Independent University, Bangladesh","Bangladesh","60022044","21","1786","70","22","2003"
"56344137600","Yu, Li","Beijing University of Posts and Telecommunications","China","60016930","21","2090","274","28","1998"
"55393035800","Dalir, Hamed","University of Florida","United States","60013959","21","1115","164","25","2010"
"35190502400","Huang, Yingzhou","Chongqing University","China","60023380","21","2759","114","29","2008"
"23488230800","El-Khoury, Patrick Zakhia","Pacific Northwest National Laboratory","United States","60023471","21","1441","124","25","2008"
"55005509600","Oh, Sang Hyun","University of Minnesota Twin Cities","United States","60029445","21","8268","215","53","1997"
"36463810800","König, Tobias A.F.","Leibniz-Institut für Polymerforschung Dresden e.V.","Germany","60008583","21","1689","72","27","2011"
"25030953600","Zhu, Jinfeng","Xiamen University","China","60018205","21","2020","102","27","2009"
"55588624100","Li, Baojun","Jinan University","China","60017456","21","4436","304","41","1994"
"15135096600","Chen, Hongsheng","Zhejiang University","China","60003970","20","8901","396","62","2003"
"56114326700","Zhang, Shuang","The University of Hong Kong","Hong Kong","60006541","20","18073","329","82","2001"
"56577571600","Butt, Muhammad A.","Samara National Research University","Russian Federation","60011415","20","1085","155","28","2014"
"57194426993","Watanabe, Tatsuhiko","ETH Zürich","Switzerland","60025858","20","649","41","10","2017"
"55928684900","Scarabelli, Leonardo","CSIC - Instituto de Ciencia de Materiales de Barcelona (ICMAB)","Spain","60024288","20","2572","57","25","2013"
"55448412800","Ghosh, Ambarish","Indian Institute of Science","India","60014097","20","1926","104","24","2004"
"23389687800","Markey, Laurent","CNRS Centre National de la Recherche Scientifique","France","60008134","20","1922","104","29","2004"
"24832340700","Luo, Yu L.","School of Electrical and Electronic Engineering","Singapore","60118454","20","3391","154","39","2005"
"55613239784","Jain, Prashant K.","University of Illinois Urbana-Champaign","United States","60000745","20","18202","113","48","2005"
"36195387800","Besteiro, Lucas V.","CINBIO","Spain","60122078","20","3282","51","32","2010"
"55154726900","Park, Sung-gyu","Korea Institute of Materials Science","South Korea","60094609","20","2723","105","29","2007"
